question_id,subject,level,grade,model_key,composite_auto_score,accuracy_score,structure_score,length_score,word_count,latency_ms,error
MTK-SD-001,Matematika,SD,Kelas 5,gpt-oss-120b,1.0,1.0,1.0,1.0,118,8719,
MTK-SD-001,Matematika,SD,Kelas 5,gemma-4-31b,1.0,1.0,1.0,1.0,170,11844,
MTK-SD-001,Matematika,SD,Kelas 5,nemotron-super,0.88,1.0,0.6,1.0,80,20306,
MTK-SD-001,Matematika,SD,Kelas 5,nemotron-nano,1.0,1.0,1.0,1.0,140,2634,
MTK-SD-002,Matematika,SD,Kelas 4,gpt-oss-120b,0.819,0.67,1.0,0.92,46,6518,
MTK-SD-002,Matematika,SD,Kelas 4,gemma-4-31b,0.775,0.67,0.8,1.0,72,4701,
MTK-SD-002,Matematika,SD,Kelas 4,nemotron-super,0.639,0.67,0.6,0.62,31,4582,
MTK-SD-002,Matematika,SD,Kelas 4,nemotron-nano,0.835,0.67,1.0,1.0,64,2134,
MTK-SMP-001,Matematika,SMP,Kelas 7,gpt-oss-120b,0.587,0.33,1.0,0.61,61,6525,
MTK-SMP-001,Matematika,SMP,Kelas 7,gemma-4-31b,0.605,0.33,0.8,1.0,168,5683,
MTK-SMP-001,Matematika,SMP,Kelas 7,nemotron-super,0.529,0.33,0.8,0.62,62,22298,
MTK-SMP-001,Matematika,SMP,Kelas 7,nemotron-nano,0.665,0.33,1.0,1.0,113,1934,
MTK-SMP-002,Matematika,SMP,Kelas 8,gpt-oss-120b,0.757,0.67,0.8,0.91,91,9850,
MTK-SMP-002,Matematika,SMP,Kelas 8,gemma-4-31b,1.0,1.0,1.0,1.0,212,9147,
MTK-SMP-002,Matematika,SMP,Kelas 8,nemotron-super,0.705,0.67,0.8,0.65,65,5283,
MTK-SMP-002,Matematika,SMP,Kelas 8,nemotron-nano,0.665,0.33,1.0,1.0,142,3211,
MTK-SMA-001,Matematika,SMA,Kelas 10,gpt-oss-120b,0.648,0.5,0.8,0.79,119,10791,
MTK-SMA-001,Matematika,SMA,Kelas 10,gemma-4-31b,0.75,0.5,1.0,1.0,238,7820,
MTK-SMA-001,Matematika,SMA,Kelas 10,nemotron-super,0.821,0.83,1.0,0.53,79,36451,
MTK-SMA-001,Matematika,SMA,Kelas 10,nemotron-nano,0.75,0.5,1.0,1.0,323,4507,
MTK-SMA-002,Matematika,SMA,Kelas 11,gpt-oss-120b,0.823,0.75,1.0,0.74,111,13298,
MTK-SMA-002,Matematika,SMA,Kelas 11,gemma-4-31b,0.805,0.75,0.8,0.95,143,13172,
MTK-SMA-002,Matematika,SMA,Kelas 11,nemotron-super,0.634,0.5,1.0,0.42,63,30855,
MTK-SMA-002,Matematika,SMA,Kelas 11,nemotron-nano,0.809,0.75,1.0,0.67,101,2552,
IPA-SD-001,IPA,SD,Kelas 4,gpt-oss-120b,1.0,1.0,1.0,1.0,99,6720,
IPA-SD-001,IPA,SD,Kelas 4,gemma-4-31b,0.998,1.0,1.0,0.99,201,8452,
IPA-SD-001,IPA,SD,Kelas 4,nemotron-super,0.88,1.0,0.6,1.0,89,3640,
