question_id,subject,level,grade,model_key,composite_auto_score,accuracy_score,structure_score,length_score,word_count,latency_ms,error
MTK-SD-001,Matematika,SD,Kelas 5,gpt-oss-120b,1.0,1.0,1.0,1.0,110,10106,
MTK-SD-001,Matematika,SD,Kelas 5,gemma-4-31b,1.0,1.0,1.0,1.0,153,8451,
MTK-SD-001,Matematika,SD,Kelas 5,nemotron-super,0.88,1.0,0.6,1.0,76,9929,
MTK-SD-001,Matematika,SD,Kelas 5,nemotron-nano,0.94,1.0,0.8,1.0,126,5241,
MTK-SD-002,Matematika,SD,Kelas 4,gpt-oss-120b,1.0,1.0,1.0,1.0,58,5890,
MTK-SD-002,Matematika,SD,Kelas 4,gemma-4-31b,0.775,0.67,0.8,1.0,80,4928,
MTK-SD-002,Matematika,SD,Kelas 4,nemotron-super,0.603,0.67,0.6,0.44,22,5492,
MTK-SD-002,Matematika,SD,Kelas 4,nemotron-nano,0.835,0.67,1.0,1.0,55,2038,
MTK-SMP-001,Matematika,SMP,Kelas 7,gpt-oss-120b,0.531,0.33,0.8,0.63,63,5508,
MTK-SMP-001,Matematika,SMP,Kelas 7,gemma-4-31b,0.0,0.0,0.0,0.0,0,,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1780704000000'}, 'provider_name': None, 'previous_errors': [{'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}]}}, 'user_id': 'user_3EgwSLoqlxLwBdNMFC2C1tq45FH'}"
MTK-SMP-001,Matematika,SMP,Kelas 7,nemotron-super,0.0,0.0,0.0,0.0,0,,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1780704000000'}, 'provider_name': None}}, 'user_id': 'user_3EgwSLoqlxLwBdNMFC2C1tq45FH'}"
MTK-SMP-001,Matematika,SMP,Kelas 7,nemotron-nano,0.0,0.0,0.0,0.0,0,,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1780704000000'}, 'provider_name': None}}, 'user_id': 'user_3EgwSLoqlxLwBdNMFC2C1tq45FH'}"
